sku,name,price,category,date_bought,buyer_email,buyer_country,payment_type
SKU007,Nike Air Max Shoes,369.03,Clothing,1/22/2023,carol.evans@gmail.com,UK,Cash
SKU006,Canon EOS Rebel Camera,130.23,Electronics,1/23/2023,grace.taylor@inbox.com,UK,Cash
SKU004,Sony 4K Ultra HD TV,453.7,Electronics,1/24/2023,kate.lewis@zoho.com,Canada,Cash
SKU009,The Alchemist - Paulo Coelho,308.71,Books,1/24/2023,isabella.miller@edu.com,Australia,Cash
SKU009,The Alchemist - Paulo Coelho,157.07,Books,1/25/2023,noah.young@yandex.com,Australia,Cash
SKU005,Dell XPS 13 Laptop,256.91,Electronics,1/27/2023,harry.davis@live.com,Australia,Cash
SKU008,Adidas Ultraboost Sneakers,63.18,Clothing,1/27/2023,olivia.martin@gmx.com,USA,Cash
SKU003,Bose QuietComfort Headphones,400.72,Electronics,1/28/2023,grace.taylor@inbox.com,USA,PayPal
SKU009,The Alchemist - Paulo Coelho,410.37,Books,1/29/2023,kate.lewis@zoho.com,UK,Cash
SKU001,Apple iPhone 13,65.56,Electronics,1/29/2023,carol.evans@gmail.com,USA,Cash
SKU010,Levi's 501 Original Jeans,418.23,Clothing,1/29/2023,bob.smith@outlook.com,Germany,PayPal
SKU007,Nike Air Max Shoes,192.61,Clothing,2/1/2023,frank.white@mail.com,Germany,PayPal
SKU005,Dell XPS 13 Laptop,488.71,Electronics,2/2/2023,alice.johnson@example.com,Australia,Card
SKU006,Canon EOS Rebel Camera,32.95,Electronics,2/2/2023,emma.thompson@icloud.com,UK,Card
SKU003,Bose QuietComfort Headphones,399.1,Electronics,2/3/2023,bob.smith@outlook.com,UK,Cash
SKU009,The Alchemist - Paulo Coelho,439.12,Books,2/3/2023,isabella.miller@edu.com,Australia,PayPal
SKU002,Samsung Galaxy S21,49.59,Electronics,2/4/2023,noah.young@yandex.com,Germany,PayPal
SKU009,The Alchemist - Paulo Coelho,198.82,Books,2/5/2023,jack.wilson@protonmail.com,Australia,PayPal
SKU005,Dell XPS 13 Laptop,310.56,Electronics,2/5/2023,olivia.martin@gmx.com,USA,Cash
SKU010,Levi's 501 Original Jeans,21.36,Clothing,2/6/2023,david.wilson@yahoo.com,Canada,Card
SKU001,Apple iPhone 13,165.19,Electronics,2/6/2023,bob.smith@outlook.com,Australia,PayPal
SKU007,Nike Air Max Shoes,468.21,Clothing,2/8/2023,grace.taylor@inbox.com,UK,Cash
SKU007,Nike Air Max Shoes,55.5,Clothing,2/10/2023,alice.johnson@example.com,Canada,Card
SKU010,Levi's 501 Original Jeans,268.34,Clothing,2/10/2023,grace.taylor@inbox.com,Australia,PayPal
SKU004,Sony 4K Ultra HD TV,447.36,Electronics,2/13/2023,olivia.martin@gmx.com,Australia,PayPal
SKU007,Nike Air Max Shoes,298.1,Clothing,2/14/2023,grace.taylor@inbox.com,USA,Cash
SKU003,Bose QuietComfort Headphones,184.6,Electronics,2/14/2023,bob.smith@outlook.com,Australia,Cash
SKU004,Sony 4K Ultra HD TV,400.83,Electronics,2/15/2023,bob.smith@outlook.com,Australia,PayPal
SKU004,Sony 4K Ultra HD TV,192.7,Electronics,2/17/2023,mia.clark@techmail.com,Australia,Cash
SKU004,Sony 4K Ultra HD TV,496.02,Electronics,2/18/2023,harry.davis@live.com,Canada,Card
SKU002,Samsung Galaxy S21,482.59,Electronics,2/19/2023,luke.hall@fastmail.com,Australia,Card
SKU008,Adidas Ultraboost Sneakers,150.45,Clothing,2/21/2023,frank.white@mail.com,Australia,PayPal
SKU010,Levi's 501 Original Jeans,399.77,Clothing,2/23/2023,frank.white@mail.com,USA,PayPal
SKU007,Nike Air Max Shoes,330.81,Clothing,2/25/2023,mia.clark@techmail.com,UK,PayPal
SKU008,Adidas Ultraboost Sneakers,258.13,Clothing,2/25/2023,jack.wilson@protonmail.com,USA,PayPal
SKU001,Apple iPhone 13,247.84,Electronics,2/25/2023,frank.white@mail.com,Germany,Cash
SKU002,Samsung Galaxy S21,210.3,Electronics,2/25/2023,david.wilson@yahoo.com,UK,Card
